0	0	0
0	10	0
0	20	0
0	30	0
0	40	0
0	50	0
0	60	0
0	70	0
0	80	0
0	90	0
0	100	0
0	110	0
0	120	0
0	130	0
0	140	0
0	150	0
0	160	0
10	0	0
10	10	0
10	20	0
10	30	0
10	40	0
10	50	0
10	60	0
10	70	0
10	80	0
10	90	0
10	100	0
10	110	0
10	120	0
10	130	0
10	140	0
10	150	0
10	160	0
20	0	0
20	10	0
20	20	0
20	30	0
20	40	0
20	50	0
20	60	0
20	70	0
20	80	0
20	90	0
20	100	0
20	110	0
20	120	0
20	130	0
20	140	0
20	150	0
20	160	0
30	0	0
30	10	0
30	20	0
30	30	0
30	40	0
30	50	0
30	60	0
30	70	0
30	80	0
30	90	0
30	100	0
30	110	0
30	120	0
30	130	0
30	140	0
30	150	0
30	160	0
40	0	0
40	10	0
40	20	0
40	30	0
40	40	0
40	50	0
40	60	0
40	70	0
40	80	0
40	90	0
40	100	0
40	110	0
40	120	0
40	130	0
40	140	0
40	150	0
40	160	0
